"","true_beta_1","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ols_pr","ols_diag_pr","robust_m_pr","robust_mm_pr","robust_s_pr"
"77",0.5,0.4,1,0,4,1,1,1,1,0.85
"78",0.5,0.4,2,0,4,0.97,0.99,0.96,0.95,0.535
"79",0.52,0.4,0,0,4,1,1,1,1,0.955
"80",0.52,0.4,1,0,4,1,0.995,1,1,0.9
"81",0.52,0.4,2,0,4,0.975,0.99,0.965,0.95,0.555
"82",0.54,0.4,0,0,4,1,1,1,1,0.955
"83",0.54,0.4,1,0,4,1,1,1,1,0.86
"84",0.54,0.4,2,0,4,0.965,0.995,0.96,0.955,0.665
"85",0.56,0.4,0,0,4,1,1,1,1,0.96
"86",0.56,0.4,1,0,4,1,1,1,1,0.89
"87",0.56,0.4,2,0,4,0.99,0.995,0.995,0.985,0.68
"88",0.58,0.4,0,0,4,1,1,1,1,0.975
"89",0.58,0.4,1,0,4,1,1,1,1,0.86
"90",0.58,0.4,2,0,4,0.995,0.995,0.995,0.985,0.65
"91",0.6,0.4,0,0,4,1,1,1,1,0.975
"92",0.6,0.4,1,0,4,1,1,1,1,0.92
"93",0.6,0.4,2,0,4,0.99,1,0.995,0.98,0.75
"94",0.62,0.4,0,0,4,1,1,1,1,0.97
"95",0.62,0.4,1,0,4,1,1,1,1,0.94
"96",0.62,0.4,2,0,4,0.995,1,0.99,0.99,0.665
"97",0.64,0.4,0,0,4,1,1,1,1,1
"98",0.64,0.4,1,0,4,1,1,1,1,0.935
"99",0.64,0.4,2,0,4,1,1,1,1,0.775
"100",0.66,0.4,0,0,4,1,1,1,1,0.995
"101",0.66,0.4,1,0,4,1,1,1,1,0.95
"102",0.66,0.4,2,0,4,1,1,1,1,0.815
"103",0.68,0.4,0,0,4,1,1,1,1,0.995
"104",0.68,0.4,1,0,4,1,1,1,1,0.975
"105",0.68,0.4,2,0,4,1,1,1,1,0.76
"106",0.7,0.4,0,0,4,1,1,1,1,0.99
"107",0.7,0.4,1,0,4,1,1,1,1,0.975
"108",0.7,0.4,2,0,4,1,1,1,1,0.835
"109",0.72,0.4,0,0,4,1,1,1,1,0.995
"110",0.72,0.4,1,0,4,1,1,1,1,0.975
"111",0.72,0.4,2,0,4,1,1,1,1,0.81
"112",0.74,0.4,0,0,4,1,1,1,1,0.99
"113",0.74,0.4,1,0,4,1,1,1,1,0.995
"114",0.74,0.4,2,0,4,1,1,1,1,0.87
"115",0.76,0.4,0,0,4,1,1,1,1,1
"116",0.76,0.4,1,0,4,1,1,1,1,0.985
"117",0.76,0.4,2,0,4,1,1,1,1,0.855
"118",0.78,0.4,0,0,4,1,1,1,1,1
"119",0.78,0.4,1,0,4,1,1,1,1,0.985
"120",0.78,0.4,2,0,4,1,1,1,1,0.86
"121",0.8,0.4,0,0,4,1,1,1,1,1
"122",0.8,0.4,1,0,4,1,1,1,1,0.99
"123",0.8,0.4,2,0,4,1,1,1,1,0.895
"124",0.82,0.4,0,0,4,1,1,1,1,1
"125",0.82,0.4,1,0,4,1,1,1,1,1
"126",0.82,0.4,2,0,4,1,1,1,1,0.88
"127",0.84,0.4,0,0,4,1,1,1,1,1
"128",0.84,0.4,1,0,4,1,1,1,1,1
"129",0.84,0.4,2,0,4,1,1,1,1,0.945
"130",0.86,0.4,0,0,4,1,1,1,1,1
"131",0.86,0.4,1,0,4,1,1,1,1,1
"132",0.86,0.4,2,0,4,1,1,1,0.995,0.9
"133",0.88,0.4,0,0,4,1,1,1,1,1
"134",0.88,0.4,1,0,4,1,1,1,1,0.995
"135",0.88,0.4,2,0,4,1,1,1,1,0.95
