"n","p_n","p","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
50,0.1,5,0,1,0,4,3.57014905247493e-05,0.026647050506524,0.0265761637950227,6.05157568541252e-05,0.0286617089559155,0.028607577876946,0.000379814195558354,0.0879132085479189,0.0879413699092856,1.92008236865238e-05,0.0247474278492649,0.0246676389615544,0.00015124186556749,0.0329952571393264,0.0330145179763366,1.17402470369594,1.18517521077865,1.20452351573686,1.56904632410076,1.22410334348079
50,0.1,5,0.1,1,0,4,0.00458222314028664,0.030274618092358,0.0347357427602752,0.0024982201440807,0.0311518968384208,0.0335255093951478,0.000407605847224547,0.0858286296977534,0.085892921026187,0.00947994538673105,0.035694623605145,0.0450317904974554,0.00170952502507095,0.031477989300474,0.0330616023683431,1.23945173877083,1.18696351505135,1.18217837925042,1.50278366488509,1.18230570628851
50,0.1,5,0.2,1,0,4,0.0161934053346072,0.038116372863599,0.0541573127067518,0.00965819969210821,0.0411264627141745,0.050620156555426,0.00282123442829079,0.105793197403188,0.108191259041866,0.0271118116056397,0.0428961363983031,0.0698363634583496,0.00748930017125381,0.0388662684465867,0.0462001035440542,1.37891163747761,1.29531818395657,1.27639554441093,1.64618376275383,1.25850450276644
50,0.1,5,0.3,1,0,4,0.0325119956962155,0.0427464252718459,0.0750874352669741,0.0241957889439255,0.0470492735217612,0.0710568653715996,0.00477490576796294,0.106567818772923,0.110916453265795,0.0494398278995382,0.0449851792212232,0.0942450664038765,0.0175451402800799,0.0484500941264525,0.0658014340300266,1.53294480835619,1.43342946833263,1.41803054329762,1.64263678326532,1.3841843555087
50,0.1,5,0.4,1,0,4,0.0661001111670047,0.052318151120893,0.118208989683414,0.0551242144633294,0.0576800019495322,0.112573496405064,0.0132969292372979,0.123907911917052,0.136709209506682,0.0873529395116845,0.0520776842109677,0.139222312985808,0.0409093877055237,0.0572523199869079,0.097932698412484,1.74513418647879,1.63974192996299,1.61754846171105,1.79606430549383,1.53424632322828
50,0.1,5,0.5,1,0,4,0.0947806113537152,0.0539311281059266,0.148496014947218,0.085333354473857,0.0601881552351091,0.145280757088026,0.0359532050494212,0.142231754068619,0.177616032101765,0.113424123306472,0.0520390309199443,0.165254998102736,0.0690212687511045,0.0614003679736451,0.130176035252855,1.90811490933563,1.81901740923915,1.80407805226283,2.0638895544858,1.73626925848642
50,0.3,15,0,1,0,4,0.000122749865485302,0.0333876250705669,0.0333768244357699,0.000123906015803801,0.0415746668397628,0.0415322741882076,0.000301190072715162,0.107228555249937,0.107100831101653,0.000146492174220008,0.0310450858877348,0.0310673977184039,0.000180974767650569,0.0434618950429382,0.043469022230417,1.49241523828511,1.53632508691044,1.65865726638236,2.74699098659416,1.69397346628475
50,0.3,15,0.1,1,0,4,0.00187310211101105,0.0471018177529919,0.048786512592991,0.000821774765767699,0.0533636088523362,0.0539719291826945,0.000735017108918685,0.133600862709887,0.133801476367966,0.00317102524605386,0.0563141700534861,0.059259938619326,0.00083437064017021,0.0495628264084172,0.0501989457429537,1.91158048944509,1.74678906669953,1.8289843206633,3.15320325474826,1.76519266765791
50,0.3,15,0.2,1,0,4,0.0102402115211885,0.0634534578571573,0.0734398555469172,0.00427517977833783,0.0715958658257245,0.0755846621407594,0.00296204878740212,0.147699281429816,0.150070533091499,0.0155564804361499,0.0722070070676432,0.0874746594755225,0.00385285228673104,0.0617744147672483,0.0653801693949103,2.36377519382515,2.14345169643749,2.1867265381941,3.31360854726263,2.04329523723717
50,0.3,15,0.3,1,0,4,0.0200860307912036,0.0791724198564766,0.0989417609682542,0.0126155509245952,0.092303291744502,0.104549629502119,0.0101484105970084,0.182783857883271,0.192201133048747,0.0271884806925835,0.0861738235908943,0.113017608989114,0.0100321944510943,0.0785731907574767,0.0882910924455411,2.82460400710295,2.60481192139646,2.6913096525451,4.12891128892765,2.42835182506893
50,0.3,15,0.4,1,0,4,0.0374475056748577,0.0911674808617445,0.128250316613155,0.024945104801407,0.110060984889778,0.134565845751626,0.0151453932138815,0.217751637861973,0.232026024524407,0.0468790229580213,0.0912764422719226,0.137790359460856,0.022260592821397,0.0961023872102804,0.117978570482836,3.14794929147474,2.99373706987085,3.10798873666508,4.68693781804467,2.85984107466294
50,0.3,15,0.5,1,0,4,0.0529814807283451,0.0952597696704314,0.147860211320095,0.0448625430577096,0.119039574297343,0.163425959057864,0.0265864963205307,0.257281689448664,0.282839059011399,0.0621507473396195,0.0939780007171079,0.155752836053859,0.0371237670462842,0.104369981242698,0.141076268364011,3.39873761871583,3.28010818351467,3.55122177672126,5.52811362189636,3.2092845299181
50,0.5,25,0,1,0,4,0.000302622628706209,0.0461601122727902,0.0462780944524053,1.16902456193401,346.932548311372,346.71384268006,0.770159529721311,226.908864381784,226.771388453979,0.000292912483098617,0.0406738210924628,0.0408040382911916,0.000350988406876002,0.0675231602074934,0.0676040559735395,2.03170392039783,2.17886496402576,11163.8129962573,5859.16510742857,2.74626755272654
50,0.5,25,0.1,1,0,4,0.00194748753493941,0.0873761555207323,0.0889741384335888,0.26142975593421,62.0994427283209,62.1124747133418,0.700996771545387,138.03585215473,138.184705517656,0.0035361372390881,0.100147255952703,0.10328280416798,0.00108049209770994,0.0951641061513795,0.0958639418244839,3.55379761096758,3.23662434893677,1557.80692180829,3485.66787447479,3.45504472429937
50,0.5,25,0.2,1,0,4,0.0077871704113004,0.126587688529689,0.133868508186871,807.61726490819,199578.313507489,199587.617518367,10019.1807730844,2507387.25512894,2507376.88688151,0.0108914150047339,0.135965769883992,0.14631332180919,0.00409114313105711,0.123150048372146,0.126748591309715,4.8107578242465,4.4830466833869,3873118.61380494,75226579.3977519,4.28952204188787
50,0.5,25,0.3,1,0,4,0.0152827670519292,0.163181684902654,0.177811725214972,4.46554282616743,1567.86868956282,1566.06275763074,5.71024218715217,1006.4731125507,1008.15746228765,0.0199227408575623,0.169458616356141,0.188703522748278,0.0076157503222893,0.171843683519174,0.178772059107387,5.78773668371182,5.52813850159645,47497.738407797,22120.0587672729,5.57729561684585
50,0.5,25,0.4,1,0,4,0.0356434218472871,0.203857348286153,0.238685340740295,3.0493179594324,622.307748000108,622.86783496754,4.00821753225542,1390.02060212218,1388.46873724595,0.0414768521241336,0.197480531250018,0.238167461249151,0.0199177085710828,0.21452859148819,0.23358818569332,7.17847459547636,7.24075124452817,15032.1993283509,42914.2504661778,7.13785501419184
50,0.5,25,0.5,1,0,4,0.0590161497398661,0.21892697744962,0.277067419279688,8.04500030462701,1935.80569602232,1936.10747354285,3.30428552190714,630.916044422443,631.69666576666,0.0650915408807538,0.206862710495167,0.27112680053394,0.0379058946130445,0.245013100085943,0.281938942298644,8.13772013595748,8.32275944676123,56064.6791025223,17214.5989166064,8.49004830128213
50,0.7,35,0,1,0,4,0.000314069275681236,0.0908999283618636,0.0908503979240974,0.880928180218091,355.08139233785,354.541994948717,1.05833521685201,265.802069536842,265.797196475547,0.000328361213293468,0.0768235941195022,0.0768446609563177,NA,NA,NA,3.76203405691965,4.28791315732352,13621.3446101111,7891.03805171981,NA
