"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,-1,6.05683779768714e-06,0.023981503279387,0.0238916341040672,4.99745594229695e-06,0.0243703941168566,0.0242779099963314,0.00011341632024531,0.0727741603391679,0.0725964800180566,1.70520163636776e-05,0.0228121743504557,0.0227379776694175,1.16445632838676e-05,0.0293070954666876,0.0292015116481047,1.08300205455232,1.08669815637007,1.08757067497134,1.23037738304269,1.098770635876
0,1,0,4,-0.8,5.88807489746386e-05,0.0220589275593847,0.0220295725981218,7.59371063011448e-05,0.0222666240305913,0.0222534946407701,0.000173964765018598,0.0776906554435359,0.0775538575867804,5.51237032690259e-05,0.0202316428181198,0.0202058399501164,4.40782604244815e-05,0.0274195931994093,0.0273539930870361,1.05499165081049,1.06128825806793,1.06235109010527,1.21625360466557,1.07917077530656
0,1,0,4,-0.6,9.49150076002793e-05,0.0223845224174173,0.0223898993353479,8.36929318123591e-05,0.0226470434929255,0.0226401482507661,0.000205214491184248,0.0803885514682794,0.0802722117535905,7.49728665511665e-05,0.0207824802854557,0.020774323230865,4.53575397181078e-05,0.0290094749719399,0.0289387946117703,1.08786610900007,1.09381712531259,1.09502932288314,1.27297692708449,1.10785589349992
0,1,0,4,-0.4,7.50130218823145e-05,0.0235175253552005,0.023498468275662,9.40342078090583e-05,0.0241267633726237,0.0241242905269422,8.52823996881172e-06,0.0767204751183401,0.0764221214578356,0.000103235232902944,0.0223502490284748,0.0223640832652638,0.000117037108057541,0.027147211542363,0.0271556598042511,1.07963754248669,1.08290370139752,1.08471102222596,1.24123641428013,1.09442309527997
0,1,0,4,-0.2,4.49682948547876e-05,0.0224709304209312,0.0224260149941023,4.44772779417859e-05,0.0230650578791442,0.0230172749255694,0.000127055644663372,0.0762179034431694,0.0760400874740601,5.03535071211699e-05,0.0217026634936682,0.0216662063468147,7.47848720535594e-05,0.0288175833868716,0.0287770979253776,1.06126929273714,1.06347555618612,1.06416004032409,1.21822217098621,1.0780212137265
0,1,0,4,0,0.000111236920846884,0.0235472526930159,0.0235643006030907,0.00011474786825481,0.0238030444798457,0.0238225801701812,2.27967149088156e-05,0.0699330046098357,0.0696760693063051,0.000156112992021885,0.0227689782945699,0.0228340153734135,0.000150697152814686,0.0296496840412634,0.0296817824579131,1.05395926844971,1.057138249595,1.05738138566889,1.2001797363647,1.07123972840793
0,1,0,4,0.2,0.0001470433780599,0.0250180085944883,0.0250649799381703,0.000150231205888884,0.025234658508449,0.0252839510803041,0.000830791933644752,0.0711450767633524,0.0716912883899437,0.000105468632200093,0.0243516997055957,0.0243597615389734,0.000170741337805437,0.0322098713394778,0.0322517731919253,1.06008298000493,1.06333117729324,1.063534429181,1.21080662374379,1.08107409807974
0,1,0,4,0.4,0.000493906642965521,0.0226255130518752,0.0230289176426332,0.000500267836397942,0.0225838531373542,0.0229937855612027,0.00103523636091928,0.0701524613541291,0.0709070878696319,0.000496598961138983,0.0217722618705666,0.0221817717842233,0.000655997112578591,0.027698969529486,0.0282441707639466,1.06545940675031,1.06796560901082,1.06901282835954,1.20322684387834,1.08451537070558
0,1,0,4,0.6,7.32061774804479e-06,0.0233356844199514,0.0232496623000197,8.73992324363123e-06,0.0237105313091571,0.0236244291071641,0.000222156108230516,0.0772562534097795,0.0771693845043709,4.24224470184162e-06,0.0213711627421694,0.0212899203359026,1.31920556087867e-06,0.0299688821881687,0.0298503258649769,1.0497165379763,1.05466071704831,1.0552064460474,1.21894160611202,1.0711513341637
0,1,0,4,0.8,0.000227069377844005,0.022637835676158,0.0227743537112973,0.000212239036101958,0.0228541667931894,0.0229749891621186,7.48709212983712e-05,0.0764357871044215,0.0762049148773022,0.000268174538846232,0.0220289654734893,0.0222090241504416,0.00043914150182501,0.0296937446236651,0.0300141111469954,1.06547988963267,1.06677684318543,1.06753095124827,1.21580469186435,1.08150697581083
