"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,0.1,-1,4,0.00314403413865572,0.0220874245362123,0.00265692474331658,0.0225822989236,0.0165921004245466,0.0680958020387643,0.00149052579208897,0.0217554796547015,0.00449228863097684,0.0291412977405053,1.04833140715629,1.04915818192702,1.05025461592963,1.13196975636341,1.06297484310297
0,0.1,-0.5,4,-0.0103276648961048,0.022607713802533,-0.0104350473454664,0.0229347413312761,-0.00695435078424622,0.0777422055180651,-0.0098674439357278,0.020691705322148,-0.013323949075577,0.0306326661530178,1.0294941498873,1.03163324700548,1.03159090350336,1.13000237237961,1.04330406141642
0,0.1,-0.25,4,0.00060641300948916,0.0203767295039183,0.00288036378290224,0.0206234122193614,-0.00569543521757709,0.0610707876187466,-0.00155560593534876,0.0188330307308728,0.00368915576192563,0.0254314677260646,1.05353154027159,1.0562673931061,1.05681357091709,1.13547927743708,1.0673665996599
0,0.1,-0.1,4,-0.00852530212106783,0.0211983806947878,-0.00698476603286857,0.0215553569680558,0.01146152278295,0.0704597909434419,-0.00708123372327063,0.0208371152186148,-0.00605760705550207,0.0286877965289315,1.01738825195499,1.01762008319776,1.01722360616925,1.11011674186394,1.02625053801739
0,0.1,0,4,-0.00732493084419117,0.0180070739798118,-0.007324559664877,0.0181602277359644,-0.0214140875263431,0.0646723566096358,-0.00410697111392788,0.0170224348025851,-0.00877380116047899,0.0239844399145498,1.02432294319937,1.02789683017136,1.0275647904193,1.12253092717349,1.03284091439968
0,0.1,0.1,4,-0.00758430046931968,0.0206127293133951,-0.00644133840321448,0.0206950434906154,-0.0239335941845007,0.0663411243020775,-0.00393024180318879,0.0202984216734933,-0.00217446822685408,0.0291227280748678,1.03229554503536,1.03434011599097,1.03443081197798,1.12030764211765,1.04516579646085
0,0.1,0.25,4,0.0013356945651295,0.0210329463043823,0.00198147895164436,0.0211211545082169,0.00896189039631112,0.0761425544593571,-0.000417074038857601,0.0208782377456421,0.00566588756683872,0.0303664719315061,1.02975126475876,1.03027970659682,1.03044692195479,1.12185632234991,1.04154526368531
0,0.1,0.5,4,0.00796823274033187,0.0231093626705613,0.00843376487781988,0.0232683837525617,0.0103325021059533,0.090158819601345,0.00819172647654876,0.0219078147748777,0.0151352986725941,0.0308848990218825,1.03393086414713,1.03624728165755,1.036622871486,1.14559622692426,1.04582001302076
0,0.1,1,4,0.0103542969586279,0.0188881582758918,0.0102133490199892,0.0195299468491026,0.0326759001992492,0.0695689175835715,0.00887720814485427,0.0172602649238115,0.0131923479653993,0.0249159835408316,1.03651357895924,1.04171676501528,1.04298425697311,1.14411369875825,1.05010387032629
0,0.2,-1,4,0.00320587569274711,0.0222326452961495,0.00311720394645665,0.0221531702393866,-0.00970989930454258,0.0828589954882277,0.00359373133554319,0.0206489397852743,0.0070009797105155,0.0317290443553594,1.04393460377418,1.04588450964987,1.04634064990132,1.14107494465823,1.05619021867062
0,0.2,-0.5,4,0.00262035899004553,0.0194793100246832,0.00210202083334732,0.0198653358667179,-0.00145655189977512,0.0603390911192231,0.00186737164939066,0.0186084551415092,-0.00332424043954549,0.0285319223054576,1.05235045867688,1.05508530025368,1.05577723086611,1.14244327616269,1.07029640316919
0,0.2,-0.25,4,-0.00258473761047506,0.0213618141081565,-0.00256257672304105,0.0217280892935446,0.0155153186481591,0.0812796850498398,-0.000485395889764373,0.0202491159530199,-0.00754525411801232,0.0291330053967275,1.04753031009498,1.0504939848055,1.05094190631994,1.16026946035895,1.05932389593792
0,0.2,-0.1,4,-0.00675749322776875,0.0208724497288816,-0.00605755406418296,0.0210963745589936,-0.0266084036920706,0.0694213455339672,-0.00484261542282338,0.0190480225200592,-0.00751077630111352,0.0276359914442088,1.02819845615318,1.03195010167552,1.03247632524764,1.13249662237643,1.04036255050657
0,0.2,0,4,-0.0129467869144415,0.023573298440446,-0.0133164187184198,0.0236942063484974,-0.0263646959085744,0.0723216775629969,-0.0111342014897351,0.0235726933228375,-0.0191993720335262,0.0289403047767413,1.06058747367223,1.06192814912597,1.06173201476942,1.16189292968408,1.07226927637152
0,0.2,0.1,4,-0.0026885563363197,0.0219382145425522,-0.00233667376449431,0.0220124923808804,0.0140574720576541,0.0789642309496336,-0.00804397203915785,0.0199197305255431,-0.000510078972358441,0.0298257798164333,1.04971653637868,1.05144214980637,1.05091041887169,1.15883927404016,1.05990775457972
0,0.2,0.25,4,0.00969974745827162,0.018256783700441,0.00987860834429322,0.0184040723412557,0.000803380287537347,0.0603145959611668,0.0090736392017714,0.0175454991954525,0.0136046720426148,0.0232506493512824,1.06750668187905,1.0697456872649,1.07012981956216,1.15754485581845,1.07679095515229
0,0.2,0.5,4,0.00805975927806957,0.0226622385108705,0.0079590851777529,0.0228326496601707,0.00212100661089343,0.0640816899757416,0.011812693109289,0.0206952850131269,0.0133555494674304,0.0304885267877746,1.0642431049353,1.06778681736403,1.06824178369018,1.15721828168511,1.0766127711934
0,0.2,1,4,-0.0113463659011883,0.0221770557321365,-0.00950580946298141,0.0227102623426127,0.00142436650042965,0.0684264837634335,-0.0139741553141959,0.0210434088876652,-0.00109439872163875,0.0298056216305478,1.03280661641668,1.03517981924499,1.03623796384204,1.11767898023632,1.04226868838361
