"n","contamination_level","ctam_df","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe","ols_est_mse","robust_m_est_mse","robust_mm_est_mse","robust_s_est_mse","ols_diag_est_mse"
200,0,1,4,0.00754849766882204,0.00507020048637406,0.00755045265289445,0.00507361593488025,0.0127267603578272,0.0145562264260657,0.00801294687457643,0.00477401550647215,0.0126612783815965,0.0060425298949778,1.01825129438562,1.01907083303221,1.01902605709206,1.04285264379252,1.02032232864133,0.00481435274655457,0.0051018293009984,0.00510525719046944,0.0146454157231409,0.0061726252157592
200,0,2,4,0.000118497831652853,0.00672006529701501,0.000184298487199808,0.0067925545294474,0.00257523771846735,0.0231340280626616,-0.000113591355169529,0.006472008165551,-0.00164755455728161,0.00872082212853775,1.00732144490033,1.00769709702254,1.00781589687207,1.03377404837635,1.01011158594961,0.00643966102771921,0.00668647901226605,0.00675862572273255,0.0230249897716549,0.00867993245391428
200,0,5,4,-0.00449574169160982,0.00515084150618937,-0.00449416074856623,0.00512393647542632,-0.00319369474086462,0.0183949732639868,-0.00472935259021545,0.00477086096446396,-0.00277670193808288,0.00628480545130313,1.01511159206664,1.01594285273025,1.01608119906408,1.04351610015591,1.01798997829047,0.00476937343556421,0.0051452989920161,0.00511851427388315,0.0183131980837647,0.00626109149769956
200,0,10,4,-0.00112721107219493,0.00462468837777946,-8.09883469081729e-05,0.0046528467491959,0.00372582060913373,0.01626472671993,-0.00252319732531192,0.00449944547166166,-0.000541360111980138,0.00587993074874302,1.00210558880533,1.00219231212134,1.00213281420632,1.02444149263329,1.00365757626228,0.00448331476904581,0.00460283554069184,0.00462958907456226,0.0161972848255418,0.00585082416577015
200,0,20,4,0.00117288119461945,0.00465924875373617,0.00136328093452587,0.00466280728895162,-0.00312921606028715,0.0169784691582184,0.000791417718608134,0.00455703349875573,-0.000613568125840125,0.00722632571793733,1.01530475015389,1.0157967357628,1.01578301773481,1.03999367583292,1.01938422765458,0.00453487467326728,0.00463732816026418,0.00464135178741331,0.0169033688055793,0.00719057055519269
200,0.1,1,4,-0.821131987982273,0.404716490498682,-0.0824222931093614,0.00656125509250121,-0.036073108664447,0.0185546356444821,-1.38446877350428,0.290376906452952,-0.537377668812278,0.182245406826341,3.21944647276272,2.10376214420431,1.0209548495982,1.03559875742876,1.48424611881505,2.20567880672914,1.07695064973391,0.0133218832184442,0.0197631316349767,0.470108938730327
200,0.1,2,4,-0.241241725856012,0.0186206182646744,-0.0888059655262641,0.00628221719222793,-0.0415666716343515,0.0180500775643971,-0.621182810280778,0.137616876424008,-0.184914075657947,0.0140985711002993,1.54676467487376,1.09019634711485,1.02554848553842,1.0416991506742,1.05951707829844,0.522796875830212,0.0767250854673385,0.0141373056193188,0.0196876153673331,0.0482212936212308
200,0.1,5,4,-0.150147289890646,0.00753091408478151,-0.0966662501828828,0.00684041411109822,-0.040107586086779,0.0176920754229832,-0.278555799040447,0.0193067471713506,-0.110966714842665,0.00773150195191162,1.10659221540824,1.04065511908964,1.02722119078604,1.03960567484788,1.03015191812238,0.0968035466145555,0.0300374681758632,0.0161505759649624,0.0192122335075767,0.0200064562451255
200,0.1,10,4,-0.124404157205041,0.0072542696370583,-0.0850193212471606,0.00688223268781171,-0.0155207616889903,0.0201737320701243,-0.216327675117438,0.0126219549831771,-0.09188684134282,0.00804868556695523,1.07179587349251,1.03451268912315,1.02572302896192,1.04334462477658,1.02872439382842,0.0593565082299769,0.0226943926187696,0.0140761065097006,0.0203137574531801,0.016451633751081
200,0.1,20,4,-0.125332789861768,0.00683196707863302,-0.0981839014758963,0.00650838583230888,-0.0417922084988986,0.0177215312147043,-0.194257393186963,0.00959970976064205,-0.0985422045101252,0.00758661403740071,1.06434021416029,1.03867683833627,1.03261928919018,1.04861133498844,1.03351380168469,0.047287646019633,0.0225061154577741,0.0161159224121759,0.0193795122498461,0.017259247036929
