"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,-1,0.000132222838568761,0.0402148431728858,0.000181475400551965,0.0419858239211923,0.00214159899547755,0.144831413645413,7.87488500914403e-05,0.0385627860214769,9.63709327855914e-05,0.0516084536316488,1.06081600550885,1.06238631468743,1.06834908902686,1.21604917391668,1.07887006937783
0,1,0,4,-0.8,5.74473010440056e-05,0.0420280569529028,7.01937471437161e-05,0.0425336411062299,0.000469584924111661,0.135308417182282,3.68164933974329e-05,0.0404732905786891,0.00044169204798165,0.0537741664556259,1.06487917870263,1.06856060864507,1.07119791859764,1.22171332390438,1.08438687865982
0,1,0,4,-0.6,0.000147050166895245,0.0428379582067167,0.000156874864138669,0.0438064137274281,0.000294329020819947,0.154776500878217,0.000105064151068661,0.0402464302116704,0.000569811815055769,0.0580357594859431,1.04605462154821,1.04635677930961,1.04696138678254,1.17320113807013,1.06994335025172
0,1,0,4,-0.4,0.000186831011187877,0.0410577463680968,0.000212864309110922,0.0412421071674497,0.000408829305799141,0.136147540271467,0.000167165252056932,0.0391206659120867,0.000471019923924407,0.0560749177572386,1.05805522516142,1.06153746473291,1.06176944024613,1.20046491982565,1.08415675659784
0,1,0,4,-0.2,0.000440257974838837,0.0476365627680746,0.000322283422757046,0.0490072517151319,4.96206766497532e-05,0.148530962964734,0.000515150479949466,0.0446577894301034,0.000254096583617325,0.0641905863351422,1.06399000853726,1.06692236445346,1.06934381910381,1.19932509915807,1.08628122152737
0,1,0,4,0,9.89744013306827e-05,0.043884708079061,0.000113287576642119,0.0446593469772739,0.00035516229531096,0.125865601995866,0.000146258981586053,0.0420514876841987,0.000423584821771743,0.0575940677349479,1.08761105654966,1.09285024590918,1.0930236319656,1.21541243973754,1.11151988420868
0,1,0,4,0.2,0.000348033650034519,0.0458439832830406,0.000301868300735215,0.0464891485570968,0.00169620049670006,0.160300501731013,0.000185456340199724,0.0431799334270732,0.000599953182841033,0.058627189318391,1.06756323238435,1.07200550534426,1.07278345329697,1.23012505303275,1.08741972790569
0,1,0,4,0.4,1.50571478614371e-05,0.0439494219028587,2.01761209394497e-05,0.0442000687096201,0.000193581153421537,0.149053167349172,9.5635237278376e-06,0.040189373257814,0.000127167444768088,0.0583742893491485,1.07092118710607,1.07373574176943,1.07396629267727,1.22111411480734,1.08665199710653
0,1,0,4,0.6,5.24519163392592e-05,0.0465615632792618,2.15810048574288e-05,0.0490802593695383,0.000335354553490614,0.166357754048444,2.30176711785725e-05,0.0436706720925804,3.74860516072632e-05,0.0606495151258043,1.02939472717744,1.03349519449114,1.037571056288,1.21462215664984,1.05066829218461
0,1,0,4,0.8,1.5658713684936e-05,0.0469765640958263,1.23953987294656e-05,0.0471647709671655,0.000307334281021944,0.17310171122759,1.6083262171036e-05,0.0447830137560226,2.42784774266656e-05,0.0625066654267659,1.08503234335546,1.08867671968934,1.08836256647976,1.25989992952972,1.10326257452687
