"n","p_n","p","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
200,0.05,10,0,1,0,4,0.872184505853502,1.03152761051797,1.90164906115044,0.873859790882546,1.03182556721595,1.90362170696406,0.875581299522089,1.04527127160727,1.91876202858614,0.87164409448241,1.03120872531736,1.90079040234913,0.874103482862162,1.03244103607113,1.90447963686115,1.06048626395108,1.06351125075618,1.07863467068804,1.22891916842479,1.07577457599277
200,0.05,10,0.1,1,0,4,0.986657402252295,0.937732955931357,1.92251489227179,0.986211762436587,0.980782679976563,1.9650328770532,0.982425386982203,1.01677051866333,1.99716236460821,0.986988907487349,0.859005953248171,1.84427684882902,0.986865424782823,0.977422500287981,1.96233308007023,1.20768956608117,1.10285669780356,1.09454116029039,1.23632872678053,1.08474169884867
200,0.05,10,0.2,1,0,4,0.758521944527867,0.813488931405227,1.57038389807028,0.761949386838496,0.886120094168062,1.64629724081822,0.758797165493322,0.971731744477645,1.72858544648201,0.754589268358704,0.705244728257901,1.45842350716009,0.759930494061094,0.874805060518738,1.63298594445879,1.40899571968412,1.19269275550953,1.14533021761461,1.25696601601316,1.14025975223172
200,0.05,10,0.4,1,0,4,0.544254517090795,0.615023509107145,1.15804797917973,0.543408201203577,0.694170175574024,1.23619003642645,0.543247278217477,0.928131507520969,1.4695225227234,0.545333407571132,0.535673461886398,1.07993552253376,0.544147411054383,0.677624749447068,1.22041691100256,1.97621424391333,1.68893042555297,1.54198861039916,1.33597076316519,1.54790748031752
200,0.05,10,0.5,1,0,4,0.658917578813893,0.533266435991467,1.19111748193338,0.652795235096881,0.592773605985065,1.24438329386998,0.657399177714399,0.88357105342545,1.539203089033,0.660309868896615,0.479323841569748,1.13867506278322,0.658205413668048,0.589199244305826,1.24622625948526,2.31409243004447,2.06573030473742,1.9243385171899,1.4699986827433,1.89486170181436
200,0.05,10,0.6,1,0,4,0.518789162669272,0.441924930744041,0.959830243551825,0.519170933129659,0.477313112513717,0.995529419418348,0.52244763511247,0.73543950374462,1.2564162598496,0.518621687944702,0.410038564996464,0.927840175811173,0.520772829144434,0.481852838669028,1.00166196213612,2.57881913388865,2.40606621007034,2.30578111135819,1.84972578167027,2.24881049800029
200,0.1,20,0,1,0,4,0.713972134373355,0.981720767254877,1.69372946009372,0.713481330455013,0.985016165588586,1.69652746371242,0.713423359619181,1.00167026520147,1.71309028429025,0.714188922942377,0.980680784489684,1.69290834586308,0.713175316184171,0.983372298330713,1.69458086991822,1.10899041548759,1.11562608838829,1.17636114053835,1.46782853627171,1.14205876916617
200,0.1,20,0.1,1,0,4,1.04798929178151,0.940414840158221,1.98652330225941,1.04531793121614,0.989199367648207,2.03253890012905,1.04543170868537,1.00945224211221,2.05286504631335,1.05050550481434,0.854736874238699,1.90353290530456,1.04807605021355,0.974229365500641,2.02035695698319,1.52381038342723,1.20167146919039,1.22051776119683,1.48300645240542,1.17162965475084
200,0.1,20,0.2,1,0,4,1.04143843388985,0.869723955771252,1.90942294174956,1.04078108922601,0.963941793924584,2.00279499956275,1.03785169490873,1.01597484429312,2.05179458951327,1.04424340657038,0.744925276540234,1.78767883255754,1.04104664990813,0.923550934923222,1.9627504829615,2.07286486320825,1.41792655149893,1.31188875704782,1.51061383474871,1.3379050407288
200,0.1,20,0.4,1,0,4,1.05272380130814,0.64625034557229,1.69768164618929,1.05497256462307,0.771689924807406,1.82511910958086,1.05008968619694,0.958288103081503,2.00646121307228,1.05074338530151,0.556936262282522,1.60656577505947,1.05555871831372,0.710869425852927,1.76500640531494,3.19960217028466,2.47229287943864,2.01666117992005,1.70460785843431,2.2166081617324
